question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Cabo de guerra,Fácil,1.1922295720032707,1240,0.000771,AC,0.08744973100056086,76,0,0,0,0,76
Toupeira,Médio,2.140894185002253,1601,0.00180795,RE,0.41066519700052595,1,0,25,0,0,26
Copa,Fácil,1.2355572339984064,963,0.0008757,WA,0.06039819099987653,32,26,0,0,0,58
Corredor,Médio,1.857065135001904,958,0.0007989,AC,0.13953773000048386,30,0,0,0,0,30
Linhas de Ônibus,Médio,5.02241057900028,1605,0.00275625,WA,0.390630210999916,0,65,0,0,0,65
Câmeras,Médio,4.255682705999789,1691,0.0033834,WA,0.08354061299996829,50,10,0,0,0,60
Passatempo,Médio,28.47059806499965,1901,0.00429825,RE,0.3847881490000873,2,0,28,0,0,30
Trilhas,Médio,2.090013670000189,1749,0.001836,WA,0.09757126499971491,18,2,0,0,0,20
Escada perfeita,Médio,1.901607690000673,1364,0.00142725,WA,0.8501770309994754,40,20,0,0,0,60
Sequência Secreta,Médio,1.2762237040005855,1013,0.00074865,AC,0.03960825899957854,19,0,0,0,0,19
Cortando o Papel,Médio,1.5795168500008003,941,0.00101865,WA,3.0,0,20,0,2,0,22
Acelerador de Partículas,Fácil,1.332590950998565,903,0.00062685,WA,0.5175887040004454,11,28,0,0,0,39
Teleférico,Fácil,5.013153026000509,862,0.00062655,AC,0.06275189000007231,36,0,0,0,0,36
Catálogo de Músicas,Difícil,2.6593691119996947,1699,0.00234915,TLE,3.0059913280001638,2,7,0,17,0,26
Fissura Perigosa,Médio,2.413507346998813,1397,0.00162525,AC,0.21804798000084702,34,0,0,0,0,34
Jogo de Tabuleiro,Médio,1.734021191001375,1309,0.00133125,AC,0.06477816900041944,28,0,0,0,0,28
Fuga,Difícil,4.9103888789977646,1989,0.0042471,WA,0.06884023099974002,0,34,0,0,0,34
Visita entre cidades,Médio,4.5244341409998015,1278,0.0016542,AC,0.11687469099979353,19,0,0,0,0,19
Jardim de infância,Médio,8.711934590002784,3411,0.00901755,AC,0.1237626239999372,80,0,0,0,0,80
Jogo de Cartas,Fácil,1.7128855159971863,1391,0.00105105,WA,0.35023261999958777,1,59,0,0,0,60
Móbile_2015,Fácil,1.0532482419985172,904,0.0004397999999999,AC,0.05276089300059539,30,0,0,0,0,30
Transporte de Contêineres,Fácil,1.0610657459983486,1107,0.000675,AC,0.07449399799952516,49,0,0,0,0,49
Jogo do Preto e Branco,Médio,21.74902101300177,1490,0.00279165,WA,0.06497222899997723,15,25,0,0,0,40
Floresta,Fácil,1.2691986890022235,1083,0.00084105,WA,0.05273838599987357,5,28,0,0,0,33
Quadrado Mágico_2011,Fácil,1.9644791829996395,1145,0.0017571,WA,2.176799763999952,52,1,0,0,0,53
Trio de Palitinhos,Médio,1.551439726001263,1628,0.0010164,AC,0.23550141899977461,33,0,0,0,0,33
Setas,Médio,2.204699947000336,1245,0.0020178,WA,3.0,11,39,0,10,0,60
Cavalos,Médio,1.982782560997293,1263,0.0010669499999999,WA,0.059291361000759935,17,3,3,0,0,23
Avenida,Fácil,1.3400194850000844,910,0.000663,AC,0.04462519700064149,28,0,0,0,0,28
Dobradura,Fácil,1.3454746159986826,1415,0.0008382,WA,0.026022807999652287,8,2,0,0,0,10
Sinuca,Médio,6.651286478001566,981,0.0008784,AC,0.06936658099948545,40,0,0,0,0,40
Campeonato_2018,Fácil,2.910842123998009,2250,0.0015777,WA,0.06653311499940173,33,15,0,0,0,48
Burocracia,Difícil,3.667532945997664,2457,0.00249795,WA,3.0,0,14,0,39,0,53
Telefone,Fácil,2.7974611729987373,1320,0.00153765,RE,0.17825357299989264,12,0,51,0,0,63
Segredo do Cofre,Médio,1.756232566000108,1179,0.00130005,TLE,3.0,3,17,0,12,0,32
Chuva_2019,Médio,13.880051249001554,3013,0.01136805,WA,0.22165096400021866,0,35,0,0,0,35
Metrô da Nlogônia,Difícil,4.05808889599939,1829,0.00406515,TLE,3.0,0,26,0,12,0,38
Torres de Hanói,Fácil,1.7353076079998573,1301,0.0006631499999999,AC,0.027735290000237,10,0,0,0,0,10
Atletismo,Fácil,1.161048486999789,1123,0.00081195,AC,0.19538742599979741,41,0,0,0,0,41
Amigos,Médio,2.187833903997671,2586,0.0017450999999999,WA,0.29308259500066924,8,44,0,0,0,52
Remove Dígitos,Médio,1.2837663919999611,967,0.0010284,AC,0.1383633909999844,30,0,0,0,0,30
Trio de Bonecas,Difícil,1.436858976998337,1342,0.00096765,WA,0.13829287800035672,11,65,0,0,0,76
Teclado,Fácil,2.4614609720010776,1402,0.00226365,AC,0.12382819899994502,27,0,0,0,0,27
Pirâmide_2023,Fácil,2.5801370389999647,1451,0.00176205,WA,0.0747273300003144,42,44,0,0,0,86
Cápsulas,Médio,1.5624665709983674,1421,0.00116085,AC,0.30313218899937056,27,0,0,0,0,27
