question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Carro elétrico,Difícil,9.861677987999428,2048,0.014592,AC,0.38743000000067696,19,0,0,0,0,19
Dario e Xerxes,Fácil,28.432981140002084,2285,0.023199,RE,0.38342929999998887,0,0,22,0,0,22
O Tabuleiro Esburacado,Fácil,10.544299893001153,2068,0.015216,AC,0.2004096999989997,20,0,0,0,0,20
Retas,Médio,21.23418347400002,3795,0.031089,RE,0.7243398999999044,0,0,43,0,0,43
Viagem,Difícil,7.345523526000761,2258,0.013146,AC,0.34649760000138485,28,0,0,0,0,28
Soma,Médio,3.918527372999961,1124,0.00564,AC,1.1501330000010057,46,0,0,0,0,46
Estoque,Fácil,3.5406284519995097,1607,0.006465,AC,0.22031729999980598,23,0,0,0,0,23
Frete,Médio,3.63025364999703,1507,0.007509,AC,0.30526710000049206,35,0,0,0,0,35
Caçadores de Mitos,Fácil,3.1627788149999105,1451,0.005553,AC,0.911281599999711,20,0,0,0,0,20
Linhas Cruzadas,Médio,6.505904233003093,1753,0.008799,AC,0.8836522000001423,40,0,0,0,0,40
Bolas,Fácil,4.149482683002134,1150,0.004758,AC,0.17741790000036417,19,0,0,0,0,19
Xadrez Aleatório,Médio,5.069220534001943,1105,0.006255,AC,0.43379259999892383,57,0,0,0,0,57
Bombom,Fácil,4.019410233999224,1286,0.006738,AC,0.3846440999986953,50,0,0,0,0,50
Câmara de Compensação,Difícil,22.17366307699922,3037,0.021303,RE,0.48855139999977837,0,0,28,0,0,28
Taxa,Difícil,25.345960933998867,3042,0.028506,RE,0.616348100000323,0,0,36,0,0,36
Atlanta,Fácil,7.614084239001386,1425,0.010443,AC,0.31505980000110867,40,0,0,0,0,40
Fuga com helicóptero,Fácil,5.674998279002466,1121,0.005175,AC,0.5025822999996308,74,0,0,0,0,74
Pirâmide,Fácil,2.5702165010006865,1101,0.004167,WA,0.3306503000003431,1,38,0,0,0,39
Wifi,Difícil,23.24567398400177,2882,0.022578,RE,0.3648893000008684,0,0,22,0,0,22
Fitas Verde-amarelas,Difícil,19.6393797990022,3897,0.031623,RE,0.6553249999997206,0,0,60,0,0,60
Retângulo,Difícil,21.600509657997463,2301,0.022431,AC,0.3093865000009828,35,0,0,0,0,35
Copa do Mundo,Médio,12.091912692998449,2839,0.020073,AC,0.505185199999687,50,0,0,0,0,50
Passa Bolinha,Difícil,9.92726478700206,1886,0.0134939999999999,AC,0.27929240000048594,40,0,0,0,0,40
Transmissão de Energia,Médio,5.829478775001917,1826,0.009666,AC,0.25743229999898176,10,0,0,0,0,10
Quadrado,Médio,10.21543736500098,1552,0.0128399999999999,AC,0.35283130000061647,30,0,0,0,0,30
Chocolate,Fácil,3.242540209001163,1417,0.004863,AC,0.5988702999984525,99,0,0,0,0,99
Xadrez,Fácil,3.1762256539987,1128,0.003852,AC,0.2524300000004587,26,0,0,0,0,26
Pizza,Médio,13.588520682998931,1992,0.014544,AC,0.4905265000015788,48,0,0,0,0,48
Construção de Rodovia,Difícil,15.4241446010019,2122,0.018234,WA,0.9129037000002427,4,9,0,0,0,13
Dividindo o império,Médio,7.116623706999235,1563,0.010221,AC,0.35218470000108937,18,0,0,0,0,18
Cinco,Médio,6.437373307999224,1600,0.007236,AC,1.1905888999990566,64,0,0,0,0,64
Quebra-cabeça,Médio,4.646901934000198,1529,0.007167,AC,0.42951500000162923,24,0,0,0,0,24
Dominó,Médio,7.37007075099973,2605,0.014979,AC,0.1606941000009101,10,0,0,0,0,10
Calçada Imperial,Médio,18.279767359999823,1833,0.0155909999999999,AC,0.6783911000002263,20,0,0,0,0,20
Nota cortada,Fácil,4.756619782998314,1497,0.007143,AC,0.4150528000009217,65,0,0,0,0,65
Gráfico de Barras,Fácil,3.1819396350001625,1446,0.0051779999999999,AC,0.20437219999985246,22,0,0,0,0,22
Tesouro,Médio,7.283317453999189,2362,0.0133619999999999,AC,1.079100599999947,54,0,0,0,0,54
