question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Avenida,Fácil,2.6586411640018923,929,0.003135,AC,0.04221955799948773,28,0,0,0,0,28
Dobradura,Fácil,14.409788252996805,1624,0.014352,AC,0.0277644429997963,10,0,0,0,0,10
Sinuca,Médio,2.3437430580015643,964,0.00432,AC,0.05598616199949902,40,0,0,0,0,40
Campeonato_2018,Fácil,4.631896017002873,1475,0.0077009999999999,AC,0.06513600000016595,48,0,0,0,0,48
Burocracia,Difícil,16.885714869000367,3034,0.021594,TLE,3.0,37,0,0,16,0,53
Telefone,Fácil,4.809100571997988,1172,0.00582,WA,0.07159365400002571,61,2,0,0,0,63
Segredo do Cofre,Médio,8.49797495600069,1634,0.011442,AC,0.6587427699996624,32,0,0,0,0,32
Chuva_2019,Médio,17.312823127002048,2661,0.024783,AC,0.21938973400028772,35,0,0,0,0,35
Metrô da Nlogônia,Difícil,13.58528354200098,2304,0.0202439999999999,AC,1.2046208850006224,38,0,0,0,0,38
Torres de Hanói,Fácil,2.485623939996003,1038,0.004386,AC,0.028165099000034388,10,0,0,0,0,10
Atletismo,Fácil,2.55643212099676,1245,0.005115,AC,0.20724065099966538,41,0,0,0,0,41
Amigos,Médio,18.799078928997915,3428,0.02514,TLE,3.0,39,0,0,13,0,52
Remove Dígitos,Médio,3.4988786050016643,1042,0.005382,AC,0.16483718899962696,30,0,0,0,0,30
Trio de Bonecas,Difícil,25.93061464499624,2732,0.025176,WA,3.0,47,17,0,12,0,76
Teclado,Fácil,4.633604654998635,1255,0.006621,AC,0.11869250600011583,27,0,0,0,0,27
Pirâmide_2023,Fácil,2.780626070998551,1331,0.005469,AC,0.0951854610002556,86,0,0,0,0,86
Cápsulas,Médio,4.044684239001072,1208,0.005796,AC,0.28054187599991565,27,0,0,0,0,27
Caixinha de palitos,Difícil,7.615091186999052,1391,0.011013,AC,0.08618602699971234,61,0,0,0,0,61
Mina,Médio,4.372652259997267,1213,0.008127,AC,0.0861666350001542,40,0,0,0,0,40
Pesos,Fácil,23.614650456001986,2448,0.023076,RE,0.12484434500038333,0,0,24,0,0,24
Brigadeiros,Difícil,66.29047512300167,6879,0.081153,RE,0.27025677999972686,0,0,67,0,0,67
Dengue,Médio,7.220739200995013,1718,0.011766,WA,2.0114696559994627,0,10,0,0,0,10
Casamento de inteiros,Médio,12.031600988004357,1327,0.009993,AC,0.041384109999853536,20,0,0,0,0,20
Cadeiras do auditório,Médio,15.180504695003036,2310,0.019062,WA,0.1609526120000737,2,37,0,0,0,39
Impedido!,Fácil,2.003642520998256,890,0.003246,AC,0.06573258100070234,54,0,0,0,0,54
Bondinho,Fácil,1.625533906997589,720,0.002568,AC,0.04236129399942001,26,0,0,0,0,26
Rede ótica,Difícil,5.108122017998539,1661,0.010275,RE,0.0852192920001471,1,1,8,0,0,10
Distância entre amigos,Médio,9.393036177993054,1573,0.011871,AC,0.4114101679997475,30,0,0,0,0,30
Cadeado,Fácil,2.075474024997675,1462,0.005166,AC,0.05268650899961358,33,0,0,0,0,33
Baldes,Difícil,25.057584483001847,3266,0.036858,WA,1.8345442580002782,4,29,0,0,0,33
Macaco-prego,Médio,8.843158336996567,1855,0.012525,AC,0.03916261900030804,10,0,0,0,0,10
Basquete de robôs,Fácil,2.3560194579986278,902,0.0032459999999999,WA,0.04748885699973471,27,3,0,0,0,30
Fast-Food,Difícil,70.60410445000161,8167,0.103953,RE,0.16171975299948826,0,0,62,0,0,62
Dona Minhoca,Difícil,14.209613357001215,2019,0.017913,TLE,3.0,7,0,0,22,0,29
Metrônibus,Difícil,10.39462481499504,2943,0.018513,AC,1.4829197870003554,82,0,0,0,0,82
Costa,Médio,3.5087999579991447,1120,0.005952,AC,0.21639312299976154,20,0,0,0,0,20
Triângulos,Fácil,2.2484377340006176,982,0.004002,AC,0.08803875099965808,41,0,0,0,0,41
Frete da Família Silva,Médio,7.898778404996847,2368,0.014004,RE,0.1381839810001111,39,0,1,0,0,40
Zero para cancelar,Fácil,2.341004141002486,946,0.004134,AC,0.03414704500028165,5,0,0,0,0,5
Troca,Médio,7.609286611004791,1541,0.009195,AC,0.323378034999223,28,0,0,0,0,28
Conta de água,Fácil,4.130358813003113,1202,0.00639,AC,0.11888797800020257,71,0,0,0,0,71
Forja de ORicalco,Médio,27.382540369006165,3346,0.031986,TLE,3.0,50,0,0,20,0,70
