question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Computador,Difícil,6.317317948999971,1294,0.00851,AC,2.1188526160003676,42,0,0,0,0,42
Pulo do Gato,Médio,2.416875787000208,1025,0.00475,WA,0.23598434799987444,9,38,0,0,0,47
Semente,Fácil,1.8540465080000104,753,0.003045,AC,0.05719383299947367,40,0,0,0,0,40
Álbum de fotos,Médio,3.022637865999968,864,0.004385,AC,0.07614898700012418,57,0,0,0,0,57
Toca do Saci,Médio,3.76843456000006,1366,0.0069775,TLE,3.0,32,0,0,19,0,51
Caminhos do reino,Difícil,11.020161968999671,2103,0.016445,WA,1.7668027270001403,1,39,0,0,0,40
Cartas,Fácil,1.523385368000163,602,0.00203,AC,0.04780515600032231,30,0,0,0,0,30
Flíper,Fácil,1.869509394000033,645,0.0022,AC,0.03233241499947326,15,0,0,0,0,15
Avião,Médio,1.7247661080000398,1108,0.0039575,AC,0.0636322989994369,32,0,0,0,0,32
Medalhas,Fácil,1.735978355000043,737,0.0026175,AC,0.0824629280004956,69,0,0,0,0,69
Elevador_2018,Fácil,2.3947727089998807,1031,0.00439,WA,0.07671388599919737,22,2,0,0,0,24
Cubra os Furos,Médio,5.092289024000365,1136,0.00754,WA,0.06995969600029639,1,9,0,0,0,10
Carro elétrico,Difícil,5.544109070999639,1413,0.00937,WA,0.05519107300005999,7,12,0,0,0,19
Dario e Xerxes,Fácil,1.7482499699999607,744,0.0029725,WA,0.051397371999883035,17,5,0,0,0,22
O Tabuleiro Esburacado,Fácil,2.799081479000052,1079,0.0053975,AC,0.053576047999740695,20,0,0,0,0,20
Retas,Médio,6.205566456999804,1407,0.0081675,WA,1.742303168000035,22,21,0,0,0,43
Viagem,Difícil,3.797378794999986,1534,0.0075475,AC,0.13018755100074486,28,0,0,0,0,28
Soma,Médio,2.506568582,812,0.0036425,AC,0.8387330999994447,46,0,0,0,0,46
Estoque,Fácil,1.9115146479998657,1121,0.00434,AC,0.08251913900039654,23,0,0,0,0,23
Frete,Médio,2.736009725999793,1128,0.0056325,AC,0.06720019200020033,35,0,0,0,0,35
